Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Ratnamani Metals & Tubes","https://scanx.trade/company/ratnamani-metals-and-tubes-ltd","2,386.00","3.09%","2,310.00","27,343","16,222.80","29.78","11.46","3,769.65","2,256.00","-0.91%","-16.62%","-33.34%","18.05%","183.43%","4.61","0.59%","19.44%","19.84%","84.75","2,386.78","2,671.68","50.26","71.14%","80.00%"
"CIE Automotive","https://scanx.trade/company/mahindra-cie-automotive-ltd","431.90","1.36%","432.10","37,27,384","16,164.60","20.25","20.87","546.80","356.75","2.87%","-0.58%","-18.33%","-13.34%","-13.34%","2.36","1.62%","13.32%","15.32%","21.36","408.24","425.78","60.38","71.18%","80.00%"
"PG Electroplast","https://scanx.trade/company/pg-electroplast-ltd","588.25","3.41%","568.50","50,38,180","16,159.60","61.62","44.09","1,054.20","465.00","3.37%","-28.79%","-0.89%","464.27%","6,204.93%","5.90","0.04%","19.57%","14.42%","7.08","556.01","759.77","60.26","66.60%","75.00%"
"Concord Biotech","https://scanx.trade/company/concord-biotech-ltd","1,530.90","0.24%","1,532.90","54,181","15,977.00","45.04","55.26","2,451.70","1,345.00","-6.40%","-20.29%","-24.17%","62.38%","62.38%","8.85","0.57%","20.18%","26.76%","29.94","1,634.32","1,778.03","38.79","50.00%","70.00%"
"Gallantt Ispat","https://scanx.trade/company/gallantt-metal-ltd","633.75","-3.74%","651.45","1,63,645","15,885.90","33.80","11.46","802.25","292.05","-5.35%","7.20%","77.12%","967.82%","1,763.97%","5.38","0.20%","-","18.81%","-","663.27","489.48","40.55","50.00%","-"
"Five Star Business Finance","https://scanx.trade/company/five-star-business-finance-ltd","527.60","-1.09%","533.95","4,81,863","15,707.00","14.28","24.21","943.75","501.00","-2.78%","-29.08%","-41.23%","7.67%","7.67%","2.47","0.38%","9.30%","13.86%","30.90","545.76","674.26","45.17","60.00%","75.00%"
"Whirlpool","https://scanx.trade/company/whirlpool-of-india-ltd","1,384.40","11.84%","1,252.00","1,34,57,544","15,704.20","48.33","63.91","2,449.70","899.00","3.19%","-1.45%","-41.22%","-11.03%","-32.72%","4.45","0.36%","5.84%","11.63%","23.58","1,278.53","1,272.44","68.94","66.48%","80.00%"
"V-Guard Industries","https://scanx.trade/company/v-guard-industries-ltd","363.55","0.99%","358.00","1,79,770","15,696.00","54.93","28.99","454.55","300.00","-2.69%","-10.05%","-17.08%","46.06%","117.37%","7.56","0.41%","14.20%","18.94%","6.72","364.66","370.48","50.77","71.71%","80.00%"
"Techno Electric & Engineering","https://scanx.trade/company/techno-electric-engineering-ltd","1,324.00","-1.41%","1,340.00","90,457","15,617.90","33.33","22.13","1,800.00","785.15","-8.06%","-13.90%","-25.03%","373.03%","559.86%","4.11","0.68%","-","11.95%","-","1,426.15","1,291.38","40.28","50.00%","75.00%"
"JBM Auto","https://scanx.trade/company/jbm-auto-ltd","649.55","-1.57%","657.00","1,94,234","15,606.30","69.76","79.58","898.83","489.80","-11.74%","0.45%","-23.80%","207.48%","1,267.19%","11.37","0.13%","12.14%","18.88%","15.40","653.84","662.46","44.03","50.00%","65.00%"
"Kirloskar Brothers","https://scanx.trade/company/kirloskar-brothers-ltd","1,973.00","0.41%","1,975.00","38,473","15,603.90","37.26","55.95","2,475.00","1,422.35","-5.25%","-10.13%","10.16%","497.25%","1,649.89%","7.49","0.35%","19.69%","25.30%","43.89","1,971.41","1,892.41","49.15","50.00%","70.00%"
"Akzo Nobel","https://scanx.trade/company/akzo-nobel-india-ltd","3,395.40","0.17%","3,373.10","28,251","15,437.30","38.09","45.28","4,674.00","3,022.00","0.48%","-6.16%","-14.97%","57.40%","71.36%","11.63","2.94%","32.08%","39.89%","94.71","3,399.89","3,464.60","54.39","68.81%","70.00%"
"Caplin Point Laboratories","https://scanx.trade/company/caplin-point-laboratories-ltd","1,987.60","-1.37%","2,008.00","33,974","15,318.60","26.65","25.43","2,641.00","1,599.00","-14.70%","-5.78%","6.11%","180.42%","268.89%","5.74","0.30%","19.77%","23.34%","62.84","2,127.06","2,076.21","40.38","50.00%","75.00%"
"Data Patterns","https://scanx.trade/company/data-patterns-india-ltd","2,806.80","2.75%","2,730.00","11,36,442","15,293.10","73.23","44.09","3,268.80","1,351.15","-2.21%","-3.07%","14.66%","118.23%","271.76%","10.42","0.28%","2.20%","11.06%","33.70","2,640.63","2,386.11","55.88","0.00%","70.00%"
"Aptus Value Housing Finance","https://scanx.trade/company/aptus-value-housing-finance-indian-ltd","309.95","1.57%","305.10","9,72,307","15,277.00","19.42","17.41","392.05","267.95","-5.78%","-10.07%","-19.94%","-6.53%","-10.65%","3.60","1.45%","16.24%","13.64%","12.85","330.02","318.60","41.43","69.65%","80.00%"
"Syrma SGS","https://scanx.trade/company/syrma-sgs-ltd","787.00","-0.36%","795.00","8,69,995","15,201.80","70.70","44.09","875.00","370.00","-1.43%","10.19%","93.96%","178.09%","153.46%","5.50","0.18%","7.98%","14.84%","5.58","786.12","595.94","45.45","50.00%","65.00%"
"DOMS Industries","https://scanx.trade/company/doms-industries-ltd","2,478.20","-1.05%","2,509.00","27,298","15,199.80","68.89","-194.93","3,115.00","2,092.30","-5.30%","3.50%","-11.18%","86.89%","86.89%","15.00","0.13%","28.95%","23.91%","28.07","2,519.69","2,569.66","42.52","60.00%","75.00%"
"Allied Blenders & Distillers","https://scanx.trade/company/allied-blenders-distillers-ltd","551.50","1.71%","542.00","5,18,494","15,167.30","64.39","54.20","565.50","279.00","1.33%","10.98%","64.77%","73.48%","73.48%","9.99","0.65%","0.39%","23.22%","0.70","522.90","419.93","58.41","60.00%","70.00%"
"CEAT","https://scanx.trade/company/ceat-ltd","3,732.40","0.90%","3,710.00","5,07,244","15,097.60","35.16","35.78","4,044.00","2,343.05","8.81%","-3.18%","29.07%","149.58%","257.39%","3.46","0.80%","15.68%","15.23%","169.51","3,349.68","3,252.30","68.83","67.70%","80.00%"
