Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Cash Ur Drive Marketing","https://scanx.trade/company/cash-ur-drive-marketingltd","141.15","-1.67%","145.05","24,000","253.30","14.09","22.25","165.00","130.00","-9.52%","-10.35%","-10.35%","-10.35%","-10.35%","2.18","-","-","41.34%","-","-","-","42.83","-","-"
"Shah Metacorp","https://scanx.trade/company/gyscoal-alloys-ltd","4.19","-1.64%","4.28","10,59,866","253.00","20.95","11.46","5.64","2.80","12.63%","7.16%","-20.19%","83.77%","91.32%","1.50","-","-","19.31%","-","3.66","3.62","66.10","-","-"
"Aarey Drugs & Pharmaceuticals","https://scanx.trade/company/aarey-drugs-pharm-ltd","87.90","-0.77%","87.90","17,571","251.20","59.40","58.93","88.58","31.35","24.35%","34.26%","32.08%","125.38%","102.77%","1.86","-","-","7.61%","-","73.27","57.90","71.09","-","-"
"Indo Us Bio-Tech","https://scanx.trade/company/indo-us-biotech-ltd","122.15","-2.45%","128.61","10,402","251.10","78.58","22.25","388.40","123.26","-14.61%","-29.66%","-52.87%","-58.25%","-58.25%","5.53","-","-","14.97%","-","145.32","173.99","27.95","-","-"
"Worth Peripherals","https://scanx.trade/company/worth-peripherals-ltd","159.32","0.26%","161.00","21,334","250.30","13.85","13.27","190.47","114.99","1.24%","11.66%","18.43%","30.80%","282.06%","1.43","0.63%","9.39%","12.62%","9.93","155.58","154.66","53.71","50.00%","-"
"SAL Steel","https://scanx.trade/company/sal-steel-ltd","30.80","4.98%","29.00","2,23,861","249.30","-16.25","16.53","36.50","14.37","-7.67%","83.44%","23.30%","140.62%","1,107.84%","7.38","-","-","5.13%","-","24.24","20.21","64.86","-","-"
"Emerald Tyre Manufacturers","https://scanx.trade/company/emerald-tyre-manufacturers-ltd","127.50","-","-","-","248.30","23.79","35.78","198.95","96.10","-0.82%","8.97%","-32.72%","-32.72%","-32.72%","2.27","0.78%","-","18.62%","-","132.97","126.92","48.20","-","-"
"Coastal Corporation","https://scanx.trade/company/coastal-corporation-ltd","37.51","1.21%","37.30","1,47,301","248.20","34.75","18.81","56.59","30.01","1.35%","1.63%","-30.41%","-40.69%","-33.22%","0.95","0.59%","2.74%","7.81%","3.38","34.62","39.51","59.29","50.00%","-"
"Unihealth Hospitals","https://scanx.trade/company/unihealth-consultancy-ltd","160.45","-0.47%","162.00","4,000","248.20","16.34","33.16","191.00","120.00","-6.82%","-4.89%","2.56%","20.64%","20.64%","2.39","-","28.07%","16.61%","6.69","164.29","157.26","45.87","-","-"
"Anlon Technology Solutions","https://scanx.trade/company/anlon-technology-solutions-ltd","383.55","-2.94%","381.20","7,600","247.20","36.95","22.25","505.80","239.00","-18.38%","-7.57%","-20.38%","45.48%","45.48%","4.08","-","-","16.06%","-","437.05","369.29","27.44","-","-"
"Chavda Infra","https://scanx.trade/company/chavda-infra-ltd","99.20","-0.30%","100.90","16,000","245.30","11.59","0.52","186.00","98.50","-12.75%","-21.43%","-42.87%","14.75%","14.75%","2.18","-","39.62%","26.83%","7.61","111.43","134.50","29.31","-","-"
"Sakthi Sugars","https://scanx.trade/company/sakthi-sugars-ltd","19.96","-3.11%","20.80","1,66,643","244.80","11.45","20.40","39.35","19.00","-11.17%","-21.48%","-47.01%","-7.81%","152.66%","1.21","-","-68.54%","-13.06%","-","21.85","24.17","32.77","50.00%","-"
"Goldstar Power","https://scanx.trade/company/goldstar-power-ltd","8.15","-4.12%","8.35","45,000","243.30","74.09","79.58","13.50","7.20","-9.44%","-13.76%","-31.80%","159.55%","541.73%","2.90","-","-","14.30%","-","8.88","9.96","32.99","-","-"
"Nureca","https://scanx.trade/company/nureca-ltd","289.22","19.30%","269.99","8,44,529","242.40","70.02","34.94","447.50","203.62","14.68%","12.32%","-1.32%","-65.20%","-55.21%","1.45","-","-","1.29%","-","242.23","261.50","77.90","-","-"
"Tankup Engineers","https://scanx.trade/company/tankup-engineers-ltd","466.15","1.99%","466.15","5,000","242.00","-","-43.20","494.90","152.55","6.94%","20.47%","153.69%","153.69%","153.69%","-","-","-","34.14%","-","389.85","-","61.59","-","-"
"Ponni Sugars Erode","https://scanx.trade/company/ponni-sugars-erode-ltd","275.80","-1.94%","282.65","10,961","241.80","15.07","20.40","480.10","267.00","-6.73%","-16.89%","-40.73%","10.56%","81.27%","0.45","1.08%","8.49%","5.09%","47.69","288.99","321.45","35.42","50.00%","-"
"Voler Car","https://scanx.trade/company/voler-car-ltd","217.00","-","217.00","1,600","241.80","55.36","22.25","242.00","77.40","-1.45%","130.85%","137.29%","137.29%","137.29%","6.53","-","-","14.43%","-","204.09","-","48.75","-","-"
"IL&FS Investment Managers","https://scanx.trade/company/ilfs-investment-managers-ltd","7.73","0.65%","7.70","2,24,213","241.20","17.20","24.21","12.95","7.61","-8.09%","-13.73%","-32.43%","-1.53%","47.24%","1.19","3.62%","-","6.47%","-","8.30","9.27","29.68","50.00%","-"
"Sheetal Cool Products","https://scanx.trade/company/sheetal-cool-products-ltd","227.80","-0.57%","232.00","10,093","240.60","16.48","19.84","376.85","226.35","-12.84%","-24.68%","-36.64%","-65.28%","-65.28%","1.82","-","-","19.79%","-","248.02","298.05","37.82","50.00%","-"
"Generic Engineering Construction","https://scanx.trade/company/generic-engineering-construction-ltd","41.63","-1.30%","42.18","1,31,646","240.40","19.68","0.52","55.92","21.96","-5.92%","4.02%","-0.43%","40.17%","-26.25%","0.84","-","-","10.92%","-","43.35","37.98","40.16","-","-"
"Century Extrusions","https://scanx.trade/company/century-extrusions-ltd","30.50","1.60%","28.61","4,41,164","240.20","24.71","0.49","34.75","15.67","13.68%","28.69%","30.12%","173.54%","759.15%","2.93","-","-","26.42%","-","25.16","21.75","58.42","-","-"
"Trigyn Technologies","https://scanx.trade/company/trigyn-technologies-ltd","76.68","-1.20%","77.50","13,688","238.90","-512.53","16.13","128.77","66.60","2.04%","-9.82%","-39.32%","-23.09%","46.90%","0.32","-","-","3.88%","-","79.19","84.49","41.15","-","-"
"Gayatri Rubbers & Chemicals","https://scanx.trade/company/gayatri-rubbers-chemicals-ltd","410.00","-1.06%","428.30","1,000","237.80","82.66","22.25","525.25","315.60","9.92%","-1.68%","-6.82%","1,015.65%","1,015.65%","16.67","-","-","28.86%","-","398.01","438.59","54.68","-","-"
"United Nilgiri Tea","https://scanx.trade/company/united-nilgiri-tea-ltd","463.10","-1.09%","462.00","1,102","233.90","10.14","61.69","619.00","350.10","-6.43%","-4.53%","3.30%","56.72%","45.74%","1.05","0.65%","10.46%","12.99%","29.90","476.92","446.28","42.96","50.00%","-"
"Aban Offshore","https://scanx.trade/company/aban-offshore-ltd","39.45","-1.50%","40.00","41,965","233.80","-0.26","-216.17","72.70","35.32","-11.33%","-20.99%","-42.17%","-22.27%","71.52%","-0.01","-","-","-0.97%","-","43.53","45.62","31.84","-","-"
"Natural Capsules","https://scanx.trade/company/natural-capsules-ltd","218.40","-3.28%","225.20","3,354","233.50","-40.92","55.26","296.00","164.00","15.39%","-2.15%","-12.48%","-12.48%","-12.48%","0.98","-","-","2.85%","-","218.58","-","43.20","-","-"
"Shiva Texyarn","https://scanx.trade/company/shiva-texyarn-ltd","179.93","-0.06%","183.37","4,049","233.40","17.59","18.89","299.00","168.00","-1.31%","-10.08%","-22.82%","18.61%","108.13%","1.71","0.34%","-8.74%","11.38%","-","181.89","198.44","45.63","50.00%","-"
"Balaxi Pharmaceuticals","https://scanx.trade/company/balaxi-pharmaceuticals-ltd","41.12","-1.96%","42.10","55,820","231.50","12.02","55.26","98.94","41.87","-11.00%","-15.93%","-57.49%","-65.99%","-78.04%","0.98","-","-1.19%","12.35%","6.82","45.42","55.99","31.74","50.00%","-"
"Cords Cable Industries","https://scanx.trade/company/cords-cable-industries-ltd","177.41","-0.79%","180.49","10,230","231.20","14.74","25.63","246.45","146.65","-2.20%","-8.08%","-17.03%","179.61%","362.61%","1.26","0.56%","-","20.91%","-","177.63","182.14","49.76","50.00%","-"
"Eppeltone Engineers","https://scanx.trade/company/eppeltone-engineers-ltd","173.30","-2.86%","180.00","38,000","231.20","20.48","28.99","267.90","166.00","-10.02%","-14.71%","-32.13%","-32.13%","-32.13%","2.67","-","-","29.95%","-","195.48","-","29.04","-","-"
"Praxis Home Retail","https://scanx.trade/company/praxis-home-retail-ltd","12.43","-0.48%","12.30","55,510","231.00","-5.62","34.94","27.82","8.65","2.73%","-1.19%","-51.37%","-47.75%","-4.02%","-6.40","-","-","-37.47%","-","12.35","12.94","49.51","-","-"
"EMA Partners","https://scanx.trade/company/ema-partners-india-ltd","99.00","-","-","-","230.10","18.50","22.25","158.80","87.05","-1.98%","-3.41%","-33.42%","-33.42%","-33.42%","1.67","-","-","11.80%","-","97.98","-","49.44","-","-"
"Shivashrit Foods","https://scanx.trade/company/shivashrit-foods-ltd","125.00","-0.32%","119.05","24,000","229.10","-","19.84","148.50","118.00","-8.36%","-11.63%","-11.63%","-11.63%","-11.63%","-","-","-","43.39%","-","-","-","35.38","-","-"
"Aaradhya Disposal lndustries Limited","https://scanx.trade/company/aaradhya-disposal-lndustriesltd","162.00","0.37%","162.00","1,200","228.20","22.28","15.63","182.00","97.50","39.53%","39.00%","39.00%","39.00%","39.00%","3.07","-","-","42.16%","-","-","-","59.61","-","-"
"Nephro Care","https://scanx.trade/company/nephro-care-ltd","142.75","3.22%","139.00","10,400","228.00","64.59","33.16","262.80","99.95","-5.93%","6.85%","-40.02%","-20.50%","-20.50%","4.40","-","-","9.10%","-","149.03","147.60","48.30","-","-"
"KCK Industries","https://scanx.trade/company/kck-industries-ltd","35.90","0.28%","34.05","4,10,000","227.70","326.36","19.84","70.55","28.15","-2.71%","-15.83%","-35.32%","-35.32%","-35.32%","8.12","-","-","16.33%","-","39.87","44.50","42.45","-","-"
"Mahalaxmi Rubtech","https://scanx.trade/company/mahalaxmi-rubtech-ltd","211.72","-1.01%","218.89","2,690","227.10","24.43","38.24","325.80","138.50","-3.34%","-6.10%","34.04%","72.87%","311.19%","2.43","-","-","15.91%","-","218.92","223.17","41.31","-","-"
"Team India Guaranty","https://scanx.trade/company/times-guaranty-ltd","252.00","-","-","-","226.60","96.55","24.21","315.00","125.00","9.57%","45.14%","76.26%","420.66%","995.65%","4.74","-","-","5.89%","-","263.55","198.69","48.84","-","-"
"Fidel Softech","https://scanx.trade/company/fidel-softech-ltd","171.95","4.47%","172.55","2,000","226.30","21.77","16.13","234.00","109.00","-7.53%","-16.75%","32.27%","179.37%","177.12%","5.22","1.16%","-","26.29%","-","178.40","167.73","47.07","-","-"
"Aluwind Infra - Tech","https://scanx.trade/company/aluwind-architectural-ltd","89.15","-1.93%","90.05","12,000","225.90","27.26","0.52","95.80","48.00","8.79%","13.57%","37.15%","88.68%","88.68%","3.71","-","-","19.99%","-","82.48","70.14","59.82","-","-"
"Spectrum Talent Management","https://scanx.trade/company/spectrum-talent-management-ltd","98.00","0.31%","98.00","800","225.60","31.31","59.66","216.00","90.20","-2.00%","-15.52%","-37.82%","-39.93%","-39.93%","1.48","-","-","5.66%","-","105.14","138.43","46.52","-","-"
"Pritika Engineering Components","https://scanx.trade/company/pritika-engineering-components-ltd","86.60","1.29%","86.45","98,000","225.40","33.44","20.87","210.00","66.50","-4.68%","-3.67%","-48.02%","105.70%","105.70%","5.02","-","-","10.93%","-","88.43","84.11","45.84","-","-"
"Indian Emulsifiers","https://scanx.trade/company/indian-emulsifiers-ltd","116.25","-5.18%","126.00","64,000","224.80","16.03","25.66","309.85","98.45","-35.00%","-19.99%","-57.26%","-74.25%","-74.25%","1.63","-","-","21.17%","-","129.84","134.66","42.38","-","-"
"The Peria Karamalai Tea & Produce","https://scanx.trade/company/peria-karamalai-tea-ltd","726.00","0.12%","725.00","43","224.50","41.65","61.69","1,013.90","395.05","-12.89%","1.04%","51.61%","187.92%","323.32%","1.18","0.14%","-","4.29%","-","756.33","735.20","37.54","-","-"
"Kritika Wires","https://scanx.trade/company/kritika-wires-ltd","8.44","0.48%","8.70","1,65,756","223.70","24.11","11.46","13.96","7.49","-7.86%","-13.97%","-37.53%","-59.33%","14.05%","2.38","-","-","20.66%","-","8.91","9.49","41.72","-","-"
"Chembond Material Technologies","https://scanx.trade/company/chembond-chemicals-ltd","166.70","0.37%","166.99","12,530","223.40","9.24","25.66","637.90","159.00","-10.02%","-24.67%","-72.23%","39.00%","14.26%","1.45","1.04%","-","12.86%","-","177.55","277.73","40.86","-","-"
"Shubhshree Biofuels Energy","https://scanx.trade/company/shubhshree-biofuels-energy-ltd","424.95","-","-","-","222.80","27.54","22.25","494.95","215.00","-5.15%","-3.42%","84.72%","114.13%","114.13%","7.36","-","-","35.98%","-","437.80","385.87","46.70","-","-"
"BAG Convergence","https://scanx.trade/company/bag-convergence-ltd","103.70","-1.05%","104.00","75,200","222.40","23.41","13.36","106.90","95.75","-2.22%","-2.22%","-2.22%","-2.22%","-2.22%","3.10","-","-","50.33%","-","-","-","-","-","-"
"Veto Switchgear Cable","https://scanx.trade/company/veto-switchgear-cable-ltd","116.30","0.61%","116.10","22,165","221.00","10.84","28.99","149.00","92.60","-7.06%","-7.07%","-17.59%","10.66%","181.26%","0.83","0.87%","-","11.39%","-","116.51","116.70","49.47","50.00%","-"
"Addictive Learning Technology","https://scanx.trade/company/addictive-learning-technology-ltd","141.90","2.16%","138.00","7,000","221.00","21.08","22.25","448.50","125.60","-2.87%","-12.14%","-65.77%","-54.11%","-54.11%","2.85","-","-","18.18%","-","145.26","180.75","47.56","-","-"
"AMJ Land Holdings","https://scanx.trade/company/amj-land-holdings-ltd","53.25","-0.75%","53.69","9,433","220.00","10.39","0.52","76.49","41.87","-4.98%","-15.49%","1.87%","89.17%","176.62%","0.96","0.38%","-","13.93%","-","55.62","55.78","38.89","50.00%","-"
"Rana Sugars","https://scanx.trade/company/rana-sugars-ltd","14.28","-0.07%","14.29","1,36,044","219.40","5.93","20.40","21.39","12.02","-2.59%","-8.23%","-31.94%","-39.87%","148.35%","0.40","-","12.37%","10.73%","0.94","14.43","15.19","44.64","50.00%","-"
"Anik Industries","https://scanx.trade/company/anik-industries-ltd","80.48","2.98%","79.16","74,737","216.90","99.32","34.94","133.00","60.51","21.63%","-20.78%","1.81%","95.82%","549.03%","0.58","-","-","1.04%","-","79.43","98.49","63.94","-","-"
"Plaza Wires","https://scanx.trade/company/plaza-wires-ltd","49.38","-0.36%","49.56","42,883","216.80","66.01","25.63","90.78","47.70","-11.46%","-21.17%","-42.07%","-38.43%","-38.43%","1.77","-","14.15%","5.42%","0.84","54.61","59.83","23.37","50.00%","-"
"Sawaliya Food Products","https://scanx.trade/company/sawaliya-food-products-ltd","219.50","0.92%","219.05","48,000","215.70","31.34","19.84","301.00","208.00","-6.87%","-8.31%","-8.31%","-8.31%","-8.31%","4.96","-","-","48.38%","-","-","-","41.95","-","-"
"Dev Information Technology","https://scanx.trade/company/dev-info-technology-ltd","38.10","-0.42%","38.30","1,14,688","215.50","16.25","16.13","76.40","37.77","-12.13%","-16.10%","-34.97%","-21.85%","196.73%","3.13","0.26%","21.68%","26.65%","4.90","42.66","47.53","31.46","50.00%","-"
"Kataria Industries","https://scanx.trade/company/kataria-industries-ltd","100.00","-","100.00","600","215.30","19.65","11.46","220.00","90.50","-","-5.12%","-48.84%","-47.78%","-47.78%","1.97","-","-","14.58%","-","101.82","114.24","45.45","-","-"
"AksharChem","https://scanx.trade/company/aksharchem-india-ltd","263.55","-1.51%","268.10","3,125","215.00","49.21","-65.15","368.10","195.00","-1.31%","-14.85%","-14.61%","-21.23%","30.70%","0.81","0.28%","19.57%","29.32%","-","270.41","258.09","45.77","0.00%","-"
"Incredible Industries","https://scanx.trade/company/incredible-ltd","44.90","-2.14%","45.80","2,872","214.60","14.84","11.46","55.15","28.50","-0.84%","10.29%","3.08%","89.85%","144.69%","1.49","-","-","11.10%","-","43.67","40.74","49.48","-","-"
"Raj TV Network","https://scanx.trade/company/raj-tv-network-ltd","40.61","-1.38%","41.18","208","213.80","-55.59","13.36","95.00","40.17","-3.06%","-10.45%","-11.91%","-0.34%","18.05%","2.66","-","-","-14.53%","-","41.97","58.57","41.38","-","-"
"Jullundur Motor Agency","https://scanx.trade/company/jullundur-motor-agency-ltd","89.53","-3.61%","93.98","37,741","212.10","7.66","79.58","111.99","64.30","-5.29%","-5.86%","-14.43%","24.52%","241.72%","0.82","2.23%","11.31%","14.08%","11.35","90.33","89.65","46.82","50.00%","-"
"SD Retail","https://scanx.trade/company/s-d-retail-ltd","113.50","0.44%","113.50","1,000","211.60","-","45.55","215.00","86.35","-8.39%","-7.76%","-27.94%","-24.78%","-24.78%","-","-","-","12.55%","-","126.78","130.26","40.01","-","-"
"SIKKO Industries","https://scanx.trade/company/sikko-industries-ltd","96.59","0.29%","94.10","1,29,649","210.30","44.93","-24.63","118.93","60.65","42.38%","24.91%","-0.37%","2.15%","1,070.79%","2.59","-","-","7.77%","-","75.18","80.25","70.74","50.00%","-"
"Bannari Amman Spinning Mills","https://scanx.trade/company/bannari-amman-spinning-mills-ltd","25.84","-1.15%","26.28","61,717","208.90","24.00","18.89","61.20","25.50","-7.25%","-21.17%","-50.94%","-44.94%","-4.19%","0.46","-","-","7.24%","-","27.89","33.57","39.09","50.00%","-"
"Excel Realty N Infra","https://scanx.trade/company/excel-realty-n-infra-ltd","1.55","4.73%","1.55","67,32,586","208.80","-","34.94","1.85","0.65","-7.19%","34.78%","98.72%","181.82%","2,114.29%","1.31","-","-","0.41%","-","1.47","1.01","50.10","-","-"
"Winsol Engineers","https://scanx.trade/company/winsol-engineers-ltd","179.10","-0.06%","183.70","6,400","206.70","17.52","22.13","330.00","155.00","-10.23%","-15.12%","-42.25%","-53.27%","-53.27%","4.18","-","-","31.94%","-","195.53","213.05","37.49","-","-"
"Optivalue Tek Consulting","https://scanx.trade/company/optivalue-tek-consulting-ltd","83.10","-5.84%","87.00","20,800","206.60","-","16.13","107.55","83.00","-18.53%","-19.01%","-19.01%","-19.01%","-19.01%","-","-","-","49.36%","-","-","-","26.60","-","-"
"Nitiraj Engineers","https://scanx.trade/company/nitiraj-engineers-ltd","199.43","-0.31%","199.00","1,457","205.10","-906.50","44.09","421.60","186.00","-7.45%","-8.19%","-20.77%","153.08%","298.86%","3.03","0.75%","-","0.41%","-","201.20","233.48","46.49","-","-"
"SPANDANA RS.5 PPD UP","-","117.90","-0.34%","119.00","1,955","205.10","-","24.21","136.00","108.40","-7.09%","4.47%","4.47%","4.47%","4.47%","1.02","-","-","-","-","-","-","37.57","-","-"
"Destiny Logistics - RE","https://scanx.trade/company/destiny-logistics-i-ltd","137.00","3.01%","132.95","40,500","204.70","81.55","0.52","181.00","67.80","25.40%","17.65%","-12.12%","934.74%","595.43%","6.77","-","-","12.34%","-","121.18","119.30","63.77","-","-"
"Aspinwall & Co","https://scanx.trade/company/aspinwall-co-ltd","261.35","0.06%","262.00","375","204.20","26.92","22.25","345.90","220.35","-4.02%","-10.45%","-7.39%","10.39%","102.60%","1.06","2.49%","5.83%","10.13%","16.41","268.34","278.56","40.77","-","-"
"Macobs Technologies","https://scanx.trade/company/macobs-technologies-ltd","208.00","-0.10%","208.20","20,000","203.90","78.20","34.94","215.00","117.50","2.64%","20.41%","43.65%","106.35%","106.35%","7.25","-","22.51%","13.14%","2.25","192.46","173.76","61.85","-","-"
"Archidply","https://scanx.trade/company/archidply-ltd","101.14","-1.37%","102.00","9,915","203.70","-46.76","22.25","135.00","79.50","-1.62%","-3.61%","-20.74%","30.17%","310.30%","1.93","-","-","5.76%","-","102.09","98.96","45.35","0.00%","-"
"GP Petroleums","https://scanx.trade/company/gp-petroleums-ltd","39.65","-0.38%","40.48","21,654","202.90","7.64","25.66","81.09","35.56","-5.57%","-12.14%","-49.55%","-27.84%","9.53%","0.62","-","9.12%","10.85%","5.74","41.04","43.93","37.39","50.00%","-"
"CP Capital","https://scanx.trade/company/career-point-ltd","110.00","-1.34%","113.20","17,134","202.80","4.92","24.21","438.00","108.54","-22.54%","-34.62%","-67.64%","31.83%","-3.67%","0.37","2.73%","-","10.08%","-","138.45","211.03","20.67","50.00%","-"
"Indowind Energy","https://scanx.trade/company/indowind-energy-ltd","15.55","-0.77%","15.74","58,545","201.80","91.47","7.04","28.07","14.16","-9.17%","-20.78%","-28.31%","20.54%","527.02%","0.93","-","-","1.83%","-","16.84","19.12","35.74","50.00%","-"
"Purv Flexipack","https://scanx.trade/company/purv-flexipack-ltd","99.70","3.85%","99.50","4,000","201.40","14.00","34.94","226.95","69.00","-15.29%","31.88%","-54.50%","-59.64%","-59.64%","1.52","-","-","14.99%","-","93.96","105.74","50.57","-","-"
"Sadbhav Engineering","https://scanx.trade/company/sadbhav-engineering-ltd","11.59","-1.19%","11.70","3,40,704","201.30","-1.91","0.52","36.04","10.54","-14.59%","-17.51%","-66.68%","-1.78%","-76.08%","-0.50","-","-","19.77%","-","13.41","14.51","35.52","50.00%","-"
"MRO-TEK Reality","https://scanx.trade/company/mro-tek-reality-ltd","101.53","-5.01%","107.01","3,58,037","199.70","4.69","33.40","110.90","56.81","21.23%","24.52%","12.01%","56.20%","375.55%","2.54","-","-","8.90%","-","85.70","75.69","59.81","-","-"
"Bharat Road Network","https://scanx.trade/company/bharat-road-network-ltd","22.98","-3.08%","23.92","1,25,924","199.00","1.20","0.52","53.43","17.40","2.59%","3.70%","-50.13%","-32.81%","-21.97%","0.58","-","-","23.36%","-","21.23","28.05","53.24","-","-"
"P S Raj Steels","https://scanx.trade/company/p-s-raj-steels-ltd","260.00","-1.03%","265.00","17,000","198.00","26.45","11.46","276.10","122.85","34.61%","57.81%","72.64%","72.64%","72.64%","3.02","-","-","17.31%","-","193.12","-","68.09","-","-"
"Digicontent","https://scanx.trade/company/digicontent-ltd","33.42","-1.50%","33.11","10,834","197.40","9.28","13.36","68.50","33.00","-9.68%","-27.38%","-11.61%","90.43%","213.80%","7.24","-","-","39.19%","-","36.85","43.89","36.37","-","-"
"Rajputana Biodiesel","https://scanx.trade/company/rajputana-biodiesel-ltd","279.50","-0.18%","289.00","6,000","196.90","33.19","22.25","383.85","173.15","-3.45%","26.56%","7.77%","7.77%","7.77%","4.81","-","-","19.44%","-","263.14","253.18","55.47","-","-"
"Energy Mission Machineries","https://scanx.trade/company/energy-mission-machineries-ltd","171.80","-1.07%","173.00","3,250","196.70","16.41","-43.20","453.00","162.10","-6.76%","-14.55%","-60.06%","-55.29%","-55.29%","2.31","-","-","19.41%","-","186.71","216.94","39.20","-","-"
"QMS Medical Allied Services","https://scanx.trade/company/qms-medical-allied-services-ltd","99.80","-1.43%","101.25","61,000","195.80","13.34","34.94","123.50","72.35","-6.73%","20.24%","-15.39%","-22.76%","-22.27%","1.90","0.46%","9.06%","19.97%","5.04","92.88","93.27","49.03","-","-"
"Innomet Advanced Materials","https://scanx.trade/company/innomet-advanced-materials-ltd","151.00","-","-","-","195.40","-","20.31","216.00","100.00","-20.11%","-12.16%","-25.71%","-24.31%","-24.31%","-","-","-","7.46%","-","164.61","162.26","40.61","-","-"
"Aeroflex Neu","https://scanx.trade/company/sah.ltd","76.92","1.63%","75.69","38,020","195.20","264.72","13.27","125.37","67.00","-25.87%","-35.77%","-19.78%","-13.82%","-13.82%","2.35","-","-","3.83%","-","99.95","96.08","31.68","-","-"
"Lloyds Luxuries","https://scanx.trade/company/lloyds-luxuries-ltd","81.80","-","-","-","195.20","-29.32","22.25","125.75","64.00","-11.95%","-13.89%","-20.16%","91.57%","95.93%","2.91","-","-","-10.03%","-","87.44","91.38","42.65","-","-"
"Keynote Financial Services","https://scanx.trade/company/keynote-financial-services-ltd","266.01","-4.20%","275.01","5,570","194.90","12.85","24.21","479.00","170.10","6.55%","-4.66%","-16.48%","157.01%","600.03%","1.34","0.30%","-","8.53%","-","258.57","272.18","49.56","-","-"
"Emmbi Industries","https://scanx.trade/company/emmbi-industries-ltd","99.31","-1.58%","101.32","10,717","194.10","30.65","13.27","177.99","79.96","-7.39%","-8.60%","-22.24%","2.12%","28.89%","0.98","0.29%","5.14%","11.61%","5.64","102.94","111.06","42.80","50.00%","-"
"Equippp Social Impact Technologies","https://scanx.trade/company/equippp-social-impact-technologies-ltd","19.49","3.73%","18.80","8,339","193.70","199.70","16.13","30.10","16.26","6.85%","6.68%","-8.33%","-60.43%","-76.77%","23.79","-","3.85%","7.47%","0.01","19.52","20.76","48.11","-","-"
"Tainwala Chemicals & Plastics","https://scanx.trade/company/tainwala-chemicals-plastics-ltd","201.62","-2.31%","204.16","2,315","193.30","27.26","34.94","335.00","186.00","-6.85%","-4.57%","-15.22%","127.31%","342.63%","1.23","-","-","3.77%","-","214.97","225.79","37.95","50.00%","-"
"Barflex Polyfilms","https://scanx.trade/company/barflex-polyfilms-ltd","79.40","1.79%","78.00","56,000","193.00","12.70","13.27","82.40","41.15","-0.87%","13.43%","26.03%","26.03%","26.03%","2.16","-","-","21.68%","-","77.29","-","55.97","-","-"
"PE Analytics","https://scanx.trade/company/pe-analytics-ltd","184.00","-","-","-","192.90","14.66","22.25","321.45","165.10","-5.64%","-18.22%","-29.50%","19.95%","9.20%","2.15","-","16.10%","19.43%","10.66","199.65","239.09","44.77","-","-"
"North Eastern Carrying Corp.","https://scanx.trade/company/north-eastern-carrying-corporation-ltd","20.09","-0.05%","20.03","44,398","192.90","23.85","22.25","39.50","18.31","-3.18%","-12.00%","-33.98%","-13.70%","180.20%","0.91","-","-","19.98%","-","21.03","24.16","41.32","50.00%","-"
"Sunlite Recycling Industries","https://scanx.trade/company/sunlite-recycling-industries-ltd","177.05","-","-","-","192.60","13.49","20.31","197.00","91.00","-6.05%","4.30%","11.14%","-15.47%","-15.47%","3.21","-","-","34.08%","-","167.23","148.19","53.96","-","-"
"Dhunseri Tea & Industries","https://scanx.trade/company/dhunseri-tea-industries-ltd","147.82","-19.18%","183.85","3,05,133","192.20","-56.13","61.69","314.00","166.65","-22.82%","-24.00%","-45.28%","-24.58%","-7.01%","0.30","0.68%","-27.03%","-0.92%","-","189.15","197.56","14.05","50.00%","-"
"Aeron Composite","https://scanx.trade/company/aeron-composite-ltd","110.00","-2.09%","113.90","21,000","191.20","14.03","35.39","202.20","99.00","-2.65%","-13.21%","-14.53%","-30.16%","-30.16%","1.85","-","-","16.86%","-","111.37","131.30","48.96","-","-"
"Aesthetik Engineers","https://scanx.trade/company/aesthetik-engineers-ltd","109.90","-0.36%","110.00","20,000","189.90","33.51","0.52","155.60","60.00","-7.37%","-11.37%","24.89%","-5.01%","-5.01%","4.26","-","-","18.30%","-","122.32","97.55","34.09","-","-"
"Maral Overseas","https://scanx.trade/company/maral-overseas-ltd","44.98","-1.55%","45.10","11,402","189.70","-6.18","18.89","97.17","44.80","-11.35%","-40.24%","-40.57%","-29.33%","247.34%","1.72","-","-7.42%","3.31%","-","51.86","67.52","33.23","50.00%","-"
"Tips Films","https://scanx.trade/company/tips-films-ltd","434.95","-0.69%","438.75","2,679","189.30","-5.49","13.36","718.00","417.10","-4.15%","-22.63%","-27.17%","31.50%","1.74%","4.09","-","-","-90.71%","-","452.09","521.63","46.01","-","-"
"Forcas Studio","https://scanx.trade/company/forcas-studio-ltd","106.70","-0.42%","107.00","35,200","188.40","-","45.55","129.80","65.05","5.80%","-4.56%","2.01%","-26.11%","-26.11%","-","-","-","9.20%","-","104.76","99.59","50.96","-","-"
